Samples,TICID,KICID,Tmag,Kmag,Teff,Rs,GAIAID,RUWE,Gmag,Teff_G,logg_G,[Fe/H]_G,Rs_G,SpType-ELS,Prot,Nf_previous,Nf_TESS,TESS_Sector,Nf_Kepler,Kepler_Quarter,Separation 
Sample-3,389660501,,10.9702,,4288,0.650836,6.57717E+18,1.1102271,11.724553,4317.4868,4.6306,0.0518,0.6583,K,4.440108,14,14,['S1'],,,
Sample-3,394210384,,9.1578,,4581,0.824882,4.63559E+18,0.9761378,9.830774,4924.0723,4.5332,0.1774,0.7947,K,2.558938,20,23,['S1'],,,
Sample-3,409141581,,10.8935,,3900,0.613568,6.79587E+18,1.2506231,11.833237,4104.2207,4.6431,0.1034,0.6377,M,2.71708,16,14,['S1'],,,
Sample-3,425938795,,12.138,,3310,0.356976,,,,,,,,,2.092465,44,37,"['S1', 'S2']",,,
Sample-3,434096244,,9.6694,,4952,1.00773,2.39508E+18,1.2183211,10.262776,5585.5908,4.394,-0.1341,0.9613,K,1.582995,16,23,['S2'],,,
Sample-3,55269690,,11.1088,,4974.78,0.775668,4.66434E+18,0.9128217,11.776852,4750.5718,4.3171,-0.8743,1.027,K,1.166952,28,19,"['S1', 'S2']",,,
Sample-3,7151484,,9.87974,,3403,0.438721,,,,,,,,,1.15218,40,32,['S2'],,,
Sample-3,,7131515,,15.617,3901.8,0.628,2.0779E+18,1.1021239,15.468444,3664.7371,4.4711,-0.0474,0.7838,M,3.86,401,,,849,Q2-Q17,
Sample-3,,7732964,,10.955,5016.2,1.456,2.10521E+18,5.730974,10.964096,5148.884,4.1962,-0.6357,1.3881,K,2.45,326,,,495,Q1-Q17,
Sample-3,164670606,8935655,12.35,13.676,3371,0.410355,2.10681E+18,1.1900032,13.574902,,,,,,2,491,,,1602,Q1-Q17,
Sample-3,,8935942,,16.482,3324.5,0.315,2.10681E+18,1.4305036,16.391964,3318.7253,4.8658,0.0841,0.3882,M,1.65,58,,,69,Q6-Q9,
